National_Forest,Year,Quarter,Product,Species,Sold_Volume_MBF,Sold_Volume_CCF,Sold_Value,Sold_per_MBF,Sold_per_CCF,Cut_Volume_MBF,Cut_Volume_CCF,Cut_Value
Fremont-Winema,2010.00,4.00,Poles,Lodgepole Pine,185.00,356.43,1832.64,9.89,5.14,191.81,368.89,1898.69
Fremont-Winema,2010.00,4.00,Posts,Juniper,227.00,437.25,189.00,0.83,0.43,223.47,429.75,159.00
Fremont-Winema,2010.00,4.00,Posts,Lodgepole Pine,381.00,731.75,2927.00,7.69,4.00,394.81,759.25,3037.00
Fremont-Winema,2010.00,4.00,Fuelwood,Fuelwood,7982.00,15349.50,78587.50,9.85,5.12,6810.70,13097.50,67032.50
Fremont-Winema,2010.00,4.00,Non-saw,Lodgepole Pine,6.00,11.00,110.00,19.23,10.00,1658.44,3300.90,1522.06
Fremont-Winema,2010.00,4.00,Non-saw,Softwood Other,290.00,531.20,571.54,1.97,1.08,2510.62,5286.01,1209.86
Gifford Pinchot,2010.00,4.00,Sawtimber,Douglas-fir,4109.00,7663.00,580655.89,141.31,75.77,13395.05,24887.13,765317.78
Gifford Pinchot,2010.00,4.00,Sawtimber,Grand Fir,0.00,0.00,0.00,0.00,0.00,446.35,803.87,8707.97
Gifford Pinchot,2010.00,4.00,Sawtimber,Western Hemlock,0.00,0.00,0.00,0.00,0.00,96.46,193.44,2209.68
Gifford Pinchot,2010.00,4.00,Sawtimber,Pacific Silver Fir,2680.00,5348.00,35350.28,13.19,6.61,757.52,1448.42,14788.37
Gifford Pinchot,2010.00,4.00,Poles,Softwood Other,3.00,5.76,192.00,64.43,33.33,5.02,9.66,322.00
Gifford Pinchot,2010.00,4.00,Posts,Western Red Cedar,7.00,12.75,510.00,76.92,40.00,7.28,14.00,560.00
Gifford Pinchot,2010.00,4.00,Posts,Softwood Other,1.00,2.75,110.00,76.92,40.00,1.43,2.75,110.00
Gifford Pinchot,2010.00,4.00,Fuelwood,Douglas-fir,96.00,184.25,9115.36,95.14,49.47,75.01,144.25,9030.86
Gifford Pinchot,2010.00,4.00,Fuelwood,Fuelwood,2618.00,5034.55,29615.00,11.31,5.88,2671.89,5138.25,30085.00
Gifford Pinchot,2010.00,4.00,Fuelwood,Hardwood Other,7.00,13.60,160.00,22.63,11.76,7.07,13.60,176.00
Gifford Pinchot,2010.00,4.00,Non-saw,Pacific Silver Fir,0.00,0.00,0.00,0.00,0.00,3.12,6.00,3.00
Malheur,2010.00,4.00,Sawtimber,Douglas-fir,4220.00,8114.68,301751.52,71.51,37.19,1012.54,1947.47,55423.04
Malheur,2010.00,4.00,Sawtimber,Lodgepole Pine,592.00,1123.00,5020.01,8.49,4.47,276.25,530.96,22307.61
Malheur,2010.00,4.00,Sawtimber,Ponderosa Pine,3851.00,7404.92,577174.80,149.89,77.94,5741.41,11041.25,318251.00
Malheur,2010.00,4.00,Sawtimber,White Fir,11831.00,22750.30,951926.45,80.46,41.84,2130.95,4097.68,313128.25
Malheur,2010.00,4.00,Sawtimber,Western Larch,0.00,0.00,0.00,0.00,0.00,0.06,0.12,0.12
Malheur,2010.00,4.00,Poles,Juniper,4.00,7.01,70.10,19.21,10.00,3.65,7.01,70.10
Malheur,2010.00,4.00,Poles,Lodgepole Pine,74.00,142.83,1428.30,19.23,10.00,73.38,141.11,1411.10
Malheur,2010.00,4.00,Posts,Juniper,1.00,1.00,20.00,38.46,20.00,0.87,1.68,33.50
Malheur,2010.00,4.00,Posts,Lodgepole Pine,0.00,0.63,12.50,37.88,19.84,0.33,0.63,12.50
Malheur,2010.00,4.00,Fuelwood,Fuelwood,3265.00,6278.95,36935.00,11.31,5.88,3237.43,6225.83,36450.00
Malheur,2010.00,4.00,Non-saw,Ponderosa Pine,2219.00,4267.90,392400.96,176.81,91.94,1961.96,6658.12,130694.48
Malheur,2010.00,4.00,Non-saw,Pine,473.00,910.00,98000.00,207.10,107.69,0.00,0.00,0.00
Malheur,2010.00,4.00,Non-saw,Softwood Other,3565.00,6851.00,1712.75,0.48,0.25,2115.00,4067.30,1016.83
Mount Baker/Snoqualmie,2010.00,4.00,Sawtimber,Douglas-fir,8223.00,14982.97,219097.31,26.64,14.62,6097.72,10757.45,242357.21
Mount Baker/Snoqualmie,2010.00,4.00,Sawtimber,Western Hemlock,4568.00,8461.25,135472.89,29.65,16.01,6396.19,11707.56,124195.39
Mount Baker/Snoqualmie,2010.00,4.00,Sawtimber,Pacific Silver Fir,42.00,80.00,240.00,5.77,3.00,0.00,0.00,0.00
Mount Baker/Snoqualmie,2010.00,4.00,Sawtimber,Red Alder,9.00,15.73,3726.59,430.82,236.91,107.22,213.28,4615.19
Mount Baker/Snoqualmie,2010.00,4.00,Sawtimber,Western Red Cedar,628.00,1168.03,82328.71,131.10,70.49,1468.46,2703.34,47333.61
Mount Baker/Snoqualmie,2010.00,4.00,Poles,Softwood Other,0.00,0.60,11.80,38.06,19.67,0.31,0.60,11.80
Mount Baker/Snoqualmie,2010.00,4.00,Posts,Softwood Other,1.00,2.70,54.00,38.57,20.00,1.40,2.70,54.00
Mount Baker/Snoqualmie,2010.00,4.00,Fuelwood,Fuelwood,935.00,1799.45,21480.00,22.98,11.94,942.35,1812.20,21670.00
Mount Hood,2010.00,4.00,Sawtimber,Douglas-fir,18545.00,35821.48,1490630.84,80.38,41.61,13494.94,24842.99,983374.67
Mount Hood,2010.00,4.00,Sawtimber,Grand Fir,5669.00,10846.74,507430.19,89.51,46.78,4723.48,8974.68,329329.23
Mount Hood,2010.00,4.00,Sawtimber,Western Hemlock,5004.00,9647.00,343316.09,68.61,35.59,5989.47,11379.72,221161.13
Mount Hood,2010.00,4.00,Sawtimber,Noble Fir,1440.00,2716.95,94658.54,65.72,34.84,0.00,0.00,0.00
Mount Hood,2010.00,4.00,Sawtimber,Ponderosa Pine,0.00,0.00,0.00,0.00,0.00,49.89,99.57,1559.95
Mount Hood,2010.00,4.00,Sawtimber,Red Alder,0.00,0.00,0.00,0.00,0.00,62.35,123.90,5520.98
Mount Hood,2010.00,4.00,Sawtimber,White Fir,0.00,0.00,0.00,0.00,0.00,1045.98,2095.91,55940.44
Mount Hood,2010.00,4.00,Poles,Miscellaneous,2.00,4.53,288.41,123.35,63.67,2.71,5.22,332.34
Mount Hood,2010.00,4.00,Fuelwood,Fuelwood,2908.00,5593.00,65800.00,22.63,11.76,2712.13,5215.60,61280.00
Mount Hood,2010.00,4.00,Non-saw,Douglas-fir,0.00,0.00,0.00,0.00,0.00,173.46,354.86,4667.18
Mount Hood,2010.00,4.00,Non-saw,White Fir,0.00,0.00,0.00,0.00,0.00,189.94,399.00,7008.99
Mount Hood,2010.00,4.00,Non-saw,Softwood Other,1190.00,2192.87,560.03,0.47,0.26,1902.41,3455.73,1537.87
Ochoco,2010.00,4.00,Sawtimber,Douglas-fir,2004.00,4057.10,13725.36,6.85,3.38,875.81,1752.26,5437.73
Ochoco,2010.00,4.00,Sawtimber,Juniper,661.00,1271.00,1271.00,1.92,1.00,0.00,0.00,0.00
Ochoco,2010.00,4.00,Sawtimber,Ponderosa Pine,2784.00,5501.84,43650.98,15.68,7.93,3039.81,6171.82,18654.91
Ochoco,2010.00,4.00,Sawtimber,White Fir,0.00,0.00,0.00,0.00,0.00,290.83,562.73,1688.19
Ochoco,2010.00,4.00,Poles,Juniper,0.00,0.00,0.00,0.00,0.00,0.16,0.30,6.00
Ochoco,2010.00,4.00,Poles,Lodgepole Pine,7.00,14.22,284.40,38.43,20.00,4.52,8.70,174.00
Ochoco,2010.00,4.00,Posts,Juniper,1.00,2.00,40.00,38.46,20.00,1.43,2.75,55.00
Ochoco,2010.00,4.00,Posts,Lodgepole Pine,2.00,4.50,90.00,38.46,20.00,0.52,1.00,20.00
Ochoco,2010.00,4.00,Fuelwood,Douglas-fir,0.00,0.00,0.00,0.00,0.00,54.60,104.99,809.06
Ochoco,2010.00,4.00,Fuelwood,Fuelwood,2756.00,5300.19,62355.00,22.63,11.76,2560.95,4924.91,57920.00
Ochoco,2010.00,4.00,Non-saw,Softwood Other,28.00,61.45,15.36,0.54,0.25,79.60,160.49,63.27
Olympic,2010.00,4.00,Sawtimber,Douglas-fir,2996.00,5464.82,229192.09,76.50,41.94,6580.02,12550.02,306397.97
Olympic,2010.00,4.00,Sawtimber,Western Hemlock,12336.00,22489.47,924993.22,74.98,41.13,13829.68,26260.97,353001.55
Olympic,2010.00,4.00,Sawtimber,Western Red Cedar,9.00,16.35,85.00,10.00,5.20,8.50,16.35,85.00
Olympic,2010.00,4.00,Sawtimber,Specified Road Charges,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-26791.04
Olympic,2010.00,4.00,Sawtimber,Sitka Spruce,9.00,17.00,3285.42,371.65,193.26,8.84,17.00,3285.42
Olympic,2010.00,4.00,Posts,Western Red Cedar,1.00,1.00,20.00,38.46,20.00,0.52,1.00,20.00
Olympic,2010.00,4.00,Fuelwood,Fuelwood,1709.00,3286.10,19330.00,11.31,5.88,1668.99,3209.60,18880.00
Olympic,2010.00,4.00,Fuelwood,Softwood Other,18.00,34.00,200.00,11.31,5.88,8.84,17.00,100.00
Rogue River-Siskiyou,2010.00,4.00,Sawtimber,Douglas-fir,20100.00,40032.12,1379089.52,68.61,34.45,18011.80,33536.29,1217743.82
Rogue River-Siskiyou,2010.00,4.00,Sawtimber,Incense Cedar,9.00,16.72,702.50,80.84,42.02,8.69,16.72,702.50
Rogue River-Siskiyou,2010.00,4.00,Sawtimber,Ponderosa Pine,2519.00,5086.39,128718.50,51.10,25.31,0.00,0.00,0.00
Rogue River-Siskiyou,2010.00,4.00,Sawtimber,Specified Road Charges,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-73138.45
Rogue River-Siskiyou,2010.00,4.00,Sawtimber,White Fir,1858.00,2915.02,327565.40,176.30,112.37,0.32,0.61,1.92
Rogue River-Siskiyou,2010.00,4.00,Poles,Incense Cedar,0.00,0.30,20.00,125.00,66.67,0.16,0.30,20.00
Rogue River-Siskiyou,2010.00,4.00,Poles,Miscellaneous,6.00,10.95,365.00,64.37,33.33,4.98,9.60,320.00
Rogue River-Siskiyou,2010.00,4.00,Poles,Port Orford Cedar,0.00,0.00,0.00,0.00,0.00,0.16,0.30,20.00
Rogue River-Siskiyou,2010.00,4.00,Poles,Western Red Cedar,0.00,0.00,0.00,0.00,0.00,0.16,0.30,20.00
Rogue River-Siskiyou,2010.00,4.00,Posts,Miscellaneous,2.00,4.00,80.00,38.46,20.00,2.08,4.00,80.00
Rogue River-Siskiyou,2010.00,4.00,Posts,Pacific Yew,0.00,0.50,20.00,76.92,40.00,0.26,0.50,20.00
Rogue River-Siskiyou,2010.00,4.00,Fuelwood,Fuelwood,1152.00,2217.23,26085.00,22.64,11.76,1003.78,1930.36,22710.00
Rogue River-Siskiyou,2010.00,4.00,Non-saw,Douglas-fir,0.00,0.00,0.00,0.00,0.00,17.79,33.59,9.27
Rogue River-Siskiyou,2010.00,4.00,Non-saw,Softwood Other,0.00,0.00,0.00,0.00,0.00,0.68,1.28,0.64
Siuslaw,2010.00,4.00,Sawtimber,Douglas-fir,18750.00,35998.77,883141.26,47.10,24.53,23662.42,46881.85,1564093.23
Siuslaw,2010.00,4.00,Sawtimber,Douglas-fir-Westside,0.00,0.00,0.00,0.00,0.00,450.12,1271.72,9002.40
Siuslaw,2010.00,4.00,Sawtimber,Western Hemlock,20948.00,38847.39,1418332.60,67.71,36.51,9635.18,18002.24,211889.79
Siuslaw,2010.00,4.00,Sawtimber,Red Alder,0.00,0.00,0.00,0.00,0.00,12.82,24.38,113.76
Siuslaw,2010.00,4.00,Sawtimber,Western Red Cedar,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.40
Siuslaw,2010.00,4.00,Sawtimber,Specified Road Charges,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2710.03
Siuslaw,2010.00,4.00,Pulpwood,Softwood Other,0.00,0.00,0.00,0.00,0.00,1687.50,3338.79,9945.10
Siuslaw,2010.00,4.00,Poles,Red Alder,2.00,3.20,80.00,45.45,25.00,1.32,2.40,60.00
Siuslaw,2010.00,4.00,Fuelwood,Fuelwood,1152.00,2215.95,26070.00,22.63,11.76,1202.24,2312.00,27200.00
Umatilla,2010.00,4.00,Sawtimber,Douglas-fir,939.00,1767.32,132237.46,140.79,74.82,8039.16,15400.42,657595.78
Umatilla,2010.00,4.00,Sawtimber,Ponderosa Pine,275.00,522.17,64728.95,235.80,123.96,4351.14,8478.29,152251.02
Umatilla,2010.00,4.00,Sawtimber,White Fir,962.00,1783.94,91804.14,95.40,51.46,8833.30,16938.03,230167.57
Umatilla,2010.00,4.00,Sawtimber,Western Larch,4.00,8.00,308.16,74.08,38.52,4.16,8.00,308.16
Umatilla,2010.00,4.00,Poles,Lodgepole Pine,50.00,90.20,1804.00,36.36,20.00,57.00,103.61,2072.20
Umatilla,2010.00,4.00,Poles,Softwood Other,1.00,1.20,20.00,32.26,16.67,0.55,1.00,20.00
Umatilla,2010.00,4.00,Posts,Lodgepole Pine,0.00,0.75,20.00,50.00,26.67,1.20,2.25,60.00
Umatilla,2010.00,4.00,Fuelwood,Fuelwood,2.00,4.25,506.25,229.07,119.12,2.21,4.25,506.25
Umatilla,2010.00,4.00,Fuelwood,Softwood Other,6598.00,12689.00,63753.00,9.66,5.02,5921.06,11386.65,57065.00
Umatilla,2010.00,4.00,Non-saw,Douglas-fir,1584.00,3044.75,424080.00,267.79,139.28,1583.65,3044.75,424080.00
Umatilla,2010.00,4.00,Non-saw,Ponderosa Pine,1767.00,3397.30,385808.00,218.34,113.56,333.40,641.00,89280.00
Umatilla,2010.00,4.00,Non-saw,White Fir,8178.00,15567.30,1517197.51,185.53,97.46,18826.91,36561.40,2757002.64
Umpqua,2010.00,4.00,Sawtimber,Douglas-fir,26893.00,52394.46,1618479.57,60.18,30.89,19622.13,36345.15,703871.33
Umpqua,2010.00,4.00,Sawtimber,Western Hemlock,0.00,0.00,0.00,0.00,0.00,24.30,39.66,626.05
Umpqua,2010.00,4.00,Sawtimber,Incense Cedar,8.00,16.00,775.98,93.27,48.50,0.00,0.00,0.00
Umpqua,2010.00,4.00,Sawtimber,Lodgepole Pine,0.00,0.00,0.00,0.00,0.00,6.62,11.48,221.08
Umpqua,2010.00,4.00,Sawtimber,Ponderosa Pine,0.00,0.00,0.00,0.00,0.00,99.73,172.49,3737.91
Umpqua,2010.00,4.00,Sawtimber,Specified Road Charges,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-9451.47
Umpqua,2010.00,4.00,Sawtimber,Shasta Red Fir,0.00,0.00,0.00,0.00,0.00,2.59,4.08,40.80
Umpqua,2010.00,4.00,Sawtimber,Sugar Pine,0.00,0.00,0.00,0.00,0.00,66.33,104.31,1043.10
Umpqua,2010.00,4.00,Sawtimber,White Fir,81.00,155.76,1495.26,18.46,9.60,259.83,452.48,6801.05
Umpqua,2010.00,4.00,Sawtimber,Western White Pine,0.00,0.00,0.00,0.00,0.00,5.56,9.25,106.06
Umpqua,2010.00,4.00,Poles,Douglas-fir,2.00,3.20,80.00,45.45,25.00,1.76,3.20,80.00
Umpqua,2010.00,4.00,Poles,Lodgepole Pine,25.00,46.00,460.00,18.18,10.00,20.90,38.00,380.00
Umpqua,2010.00,4.00,Posts,Pacific Yew,1.00,1.00,20.00,38.46,20.00,0.52,1.00,20.00
Umpqua,2010.00,4.00,Fuelwood,Fuelwood,607.00,1168.75,13750.00,22.65,11.76,560.43,1077.80,11960.00
Umpqua,2010.00,4.00,Non-saw,Douglas-fir,29.00,47.64,11.80,0.41,0.25,98.95,164.20,107.14
Umpqua,2010.00,4.00,Non-saw,Western Hemlock,0.00,0.00,0.00,0.00,0.00,0.29,0.46,0.35
Umpqua,2010.00,4.00,Non-saw,Shasta Red Fir,0.00,0.00,0.00,0.00,0.00,0.14,0.22,0.17
Umpqua,2010.00,4.00,Non-saw,Sugar Pine,0.00,0.00,0.00,0.00,0.00,0.65,1.03,0.78
Umpqua,2010.00,4.00,Non-saw,White Fir,0.00,0.00,0.00,0.00,0.00,2.58,4.06,3.08
Umpqua,2010.00,4.00,Non-saw,Western White Pine,0.00,0.00,0.00,0.00,0.00,0.97,1.52,1.16
Umpqua,2010.00,4.00,Non-saw,Softwood Other,1.00,2.00,1.00,0.86,0.50,814.61,1578.43,377.36
Wallowa-Whitman,2010.00,4.00,Sawtimber,Douglas-fir,3438.00,6926.22,298801.93,86.91,43.14,2504.26,4892.91,86763.74
Wallowa-Whitman,2010.00,4.00,Sawtimber,Engelmann Spruce,22.00,40.49,1788.04,80.69,44.16,21.90,40.00,1766.40
Wallowa-Whitman,2010.00,4.00,Sawtimber,Lodgepole Pine,457.00,900.00,3229.26,7.06,3.59,67.49,126.09,126.09
Wallowa-Whitman,2010.00,4.00,Sawtimber,Ponderosa Pine,6406.00,12996.08,133080.59,20.77,10.24,2932.72,5765.33,282823.42
Wallowa-Whitman,2010.00,4.00,Sawtimber,White Fir,2206.00,4392.66,102979.81,46.68,23.44,4093.34,8000.33,63415.59
Wallowa-Whitman,2010.00,4.00,Sawtimber,Western Larch,1.00,1.21,51.12,64.71,42.25,0.65,1.00,42.25
Wallowa-Whitman,2010.00,4.00,Sawtimber,Softwood Other,93.00,179.48,21604.80,231.44,120.37,353.85,680.32,81893.00
Wallowa-Whitman,2010.00,4.00,Poles,Lodgepole Pine,53.00,96.32,1445.62,27.30,15.01,51.61,93.85,1407.72
Wallowa-Whitman,2010.00,4.00,Poles,Softwood Other,19.00,34.99,525.03,27.29,15.01,1.83,3.33,50.01
Wallowa-Whitman,2010.00,4.00,Posts,Lodgepole Pine,0.00,0.00,0.00,0.00,0.00,1.07,2.00,20.01
Wallowa-Whitman,2010.00,4.00,Fuelwood,Fuelwood,1205.00,2317.95,13635.00,11.31,5.88,1193.40,2295.00,13510.00
Wallowa-Whitman,2010.00,4.00,Fuelwood,Softwood Other,4529.00,8710.38,54040.00,11.93,6.20,4442.32,8542.93,53325.00
Wallowa-Whitman,2010.00,4.00,Non-saw,Douglas-fir,0.00,0.00,0.00,0.00,0.00,576.19,1154.82,848.91
Wallowa-Whitman,2010.00,4.00,Non-saw,Lodgepole Pine,0.00,0.00,0.00,0.00,0.00,170.47,278.00,69.50
Wallowa-Whitman,2010.00,4.00,Non-saw,Ponderosa Pine,0.00,0.00,0.00,0.00,0.00,26.30,61.00,15.25
Wallowa-Whitman,2010.00,4.00,Non-saw,White Fir,1047.00,2101.41,1833.77,1.75,0.87,1154.88,2192.98,17527.67
Wallowa-Whitman,2010.00,4.00,Non-saw,Softwood Other,1307.00,2512.72,274101.80,209.73,109.09,1346.68,2736.75,148238.76
Okanogan-Wenatchee,2010.00,4.00,Sawtimber,Douglas-fir,28992.00,54636.52,1093497.96,37.72,20.01,16214.85,31134.58,1182018.78
Okanogan-Wenatchee,2010.00,4.00,Sawtimber,Engelmann Spruce,641.00,1267.89,37532.77,58.52,29.60,465.20,925.95,94884.97
Okanogan-Wenatchee,2010.00,4.00,Sawtimber,Grand Fir,6160.00,11529.26,207611.23,33.70,18.01,4751.66,8947.69,206248.41
Okanogan-Wenatchee,2010.00,4.00,Sawtimber,Ponderosa Pine,5319.00,10315.21,104059.29,19.56,10.09,2404.37,4613.55,82914.80
Okanogan-Wenatchee,2010.00,4.00,Sawtimber,Western Red Cedar,53.00,95.80,37719.02,717.91,393.73,13.13,20.00,830.00
Okanogan-Wenatchee,2010.00,4.00,Sawtimber,Specified Road Charges,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-24554.21
Okanogan-Wenatchee,2010.00,4.00,Poles,Lodgepole Pine,33.00,60.94,609.00,18.41,9.99,75.91,142.17,2155.00
Okanogan-Wenatchee,2010.00,4.00,Poles,Miscellaneous,33.00,64.20,890.00,26.66,13.86,29.48,56.70,790.00
Okanogan-Wenatchee,2010.00,4.00,Poles,Softwood Other,18.00,34.67,662.00,36.70,19.09,31.66,60.88,1193.15
Okanogan-Wenatchee,2010.00,4.00,Posts,Lodgepole Pine,5.00,9.00,240.00,50.00,26.67,4.80,9.00,240.00
Okanogan-Wenatchee,2010.00,4.00,Fuelwood,Douglas-fir,0.00,0.00,0.00,0.00,0.00,14.15,27.20,164.80
Okanogan-Wenatchee,2010.00,4.00,Fuelwood,Fuelwood,8767.00,16859.00,101252.62,11.55,6.01,8095.22,15567.75,91585.00
Okanogan-Wenatchee,2010.00,4.00,Non-saw,Softwood Other,1080.00,2726.75,681.69,0.63,0.25,1738.55,3348.11,937.90
Willamette,2010.00,4.00,Sawtimber,Douglas-fir,70341.00,131239.70,3295017.21,46.84,25.11,50312.24,93120.10,1942862.11
Willamette,2010.00,4.00,Sawtimber,Douglas-fir-Westside,0.00,0.00,0.00,0.00,0.00,933.30,1787.19,-22326.59
Willamette,2010.00,4.00,Sawtimber,Grand Fir,0.00,0.00,0.00,0.00,0.00,0.98,1.84,5.52
Willamette,2010.00,4.00,Sawtimber,Western Hemlock,0.00,0.00,0.00,0.00,0.00,813.54,1482.10,21665.47
Willamette,2010.00,4.00,Sawtimber,Incense Cedar,0.00,0.00,0.00,0.00,0.00,217.41,394.12,6618.37
Willamette,2010.00,4.00,Sawtimber,Mountain Hemlock,0.00,0.00,0.00,0.00,0.00,33.20,63.85,1907.35
Willamette,2010.00,4.00,Sawtimber,Noble Fir,0.00,0.00,0.00,0.00,0.00,14.40,27.13,96.89
Willamette,2010.00,4.00,Sawtimber,Ponderosa Pine,0.00,0.00,0.00,0.00,0.00,112.10,220.90,2282.35
Willamette,2010.00,4.00,Sawtimber,Pacific Silver Fir,0.00,0.00,0.00,0.00,0.00,1.63,3.06,18.70
Willamette,2010.00,4.00,Sawtimber,Western Red Cedar,9.00,16.82,503.50,57.54,29.93,105.34,177.65,5520.33
Willamette,2010.00,4.00,Sawtimber,Specified Road Charges,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4288.59
Willamette,2010.00,4.00,Sawtimber,Shasta Red Fir,0.00,0.00,0.00,0.00,0.00,10.66,20.50,612.43
Willamette,2010.00,4.00,Sawtimber,Sugar Pine,0.00,0.00,0.00,0.00,0.00,3.67,6.69,143.09
Willamette,2010.00,4.00,Sawtimber,Sitka Spruce,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-6.72
Willamette,2010.00,4.00,Sawtimber,White Fir,0.00,0.00,0.00,0.00,0.00,198.39,379.21,10789.88
Willamette,2010.00,4.00,Sawtimber,Western White Pine,0.00,0.00,0.00,0.00,0.00,3.63,6.98,189.11
Willamette,2010.00,4.00,Sawtimber,Softwood Other,0.00,0.00,0.00,0.00,0.00,2784.92,5445.20,204652.11
Willamette,2010.00,4.00,Poles,Douglas-fir,1.00,1.20,40.00,64.52,33.33,1.24,2.40,60.00
Willamette,2010.00,4.00,Poles,Western Red Cedar,4.00,7.47,249.00,64.34,33.33,3.04,5.85,195.00
Willamette,2010.00,4.00,Posts,Douglas-fir,0.00,0.00,0.00,0.00,0.00,1.04,2.00,20.00
Willamette,2010.00,4.00,Posts,Western Red Cedar,3.00,6.50,165.00,48.82,25.38,4.55,8.75,240.00
Willamette,2010.00,4.00,Posts,Pacific Yew,0.00,0.50,20.00,76.92,40.00,0.26,0.50,20.00
Willamette,2010.00,4.00,Posts,Softwood Other,1.00,1.00,20.00,38.46,20.00,0.52,1.00,20.00
Willamette,2010.00,4.00,Posts,Hardwood Other,0.00,0.00,0.00,0.00,0.00,0.52,1.00,20.00
Willamette,2010.00,4.00,Fuelwood,Fuelwood,1445.00,2779.50,32980.00,22.83,11.87,1303.44,2506.65,29680.00
Willamette,2010.00,4.00,Fuelwood,Red Alder,4.00,8.00,120.00,30.00,15.00,4.00,8.00,120.00
Willamette,2010.00,4.00,Non-saw,Douglas-fir,5.00,7.00,1.75,0.37,0.25,45.07,73.48,34.51
Willamette,2010.00,4.00,Non-saw,Western Hemlock,0.00,0.00,0.00,0.00,0.00,1.65,2.66,1.33
Willamette,2010.00,4.00,Non-saw,Ponderosa Pine,0.00,0.00,0.00,0.00,0.00,0.55,0.90,0.45
Willamette,2010.00,4.00,Non-saw,Western Red Cedar,0.00,0.00,0.00,0.00,0.00,0.14,0.22,0.11
Willamette,2010.00,4.00,Non-saw,Softwood Other,0.00,0.00,0.00,0.00,0.00,495.11,967.66,12061.54
Colville,2010.00,4.00,Sawtimber,Douglas-fir,22598.00,43323.12,1543076.63,68.29,35.62,15622.96,30073.14,1189937.86
Colville,2010.00,4.00,Sawtimber,Engelmann Spruce,0.00,0.00,0.00,0.00,0.00,93.42,176.61,16106.38
Colville,2010.00,4.00,Sawtimber,Grand Fir,334.00,641.64,28168.14,84.40,43.90,2620.10,4906.63,200947.77
Colville,2010.00,4.00,Sawtimber,Western Hemlock,0.00,0.00,0.00,0.00,0.00,0.09,0.17,0.51
Colville,2010.00,4.00,Sawtimber,Lodgepole Pine,5843.00,11234.49,733659.29,125.55,65.30,4327.21,8259.74,548635.72
Colville,2010.00,4.00,Sawtimber,Ponderosa Pine,145.00,279.48,18250.96,125.56,65.30,171.47,333.72,20119.26
Colville,2010.00,4.00,Sawtimber,Western Red Cedar,0.00,0.00,0.00,0.00,0.00,1276.24,2482.10,75845.44
Colville,2010.00,4.00,Sawtimber,Specified Road Charges,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-68266.02
Colville,2010.00,4.00,Sawtimber,Western Larch,0.00,0.00,0.00,0.00,0.00,2006.48,3765.22,178164.28
Colville,2010.00,4.00,Poles,Lodgepole Pine,0.00,0.42,14.00,63.64,33.33,0.22,0.42,14.00
Colville,2010.00,4.00,Poles,Western Red Cedar,0.00,0.06,0.60,20.00,10.00,1.03,1.98,19.80
Colville,2010.00,4.00,Poles,Softwood Other,1.00,2.00,20.00,19.23,10.00,1.05,2.01,20.10
Colville,2010.00,4.00,Poles,Hardwood Other,2.00,3.60,30.00,16.04,8.33,0.00,0.00,0.00
Colville,2010.00,4.00,Posts,Softwood Other,2.00,3.34,40.00,22.99,11.98,0.00,0.00,0.00
Colville,2010.00,4.00,Posts,Hardwood Other,0.00,0.50,20.00,76.92,40.00,0.00,0.00,0.00
Colville,2010.00,4.00,Fuelwood,Fuelwood,5024.00,9661.95,56835.00,11.31,5.88,4255.59,8183.80,48080.00
Colville,2010.00,4.00,Non-saw,Douglas-fir,5007.00,9082.65,182606.41,36.47,20.10,3152.59,6226.57,1562.53
Colville,2010.00,4.00,Non-saw,Engelmann Spruce,0.00,0.00,0.00,0.00,0.00,125.39,231.69,192.30
Colville,2010.00,4.00,Non-saw,Lodgepole Pine,0.00,0.00,0.00,0.00,0.00,437.91,875.83,28828.20
Colville,2010.00,4.00,Non-saw,Miscellaneous,0.00,0.00,0.00,0.00,0.00,780.92,1501.77,375.46
Colville,2010.00,4.00,Non-saw,Western Larch,0.00,0.00,0.00,0.00,0.00,127.55,245.28,122.66
Colville,2010.00,4.00,Non-saw,Softwood Other,0.00,0.00,0.00,0.00,0.00,1603.01,3057.61,847.89
Colville,2010.00,4.00,Non-saw,Hardwood Other,0.00,0.00,0.00,0.00,0.00,2209.89,4249.78,1064.55
Columbia River Gorge,2010.00,4.00,Sawtimber,Douglas-fir,5816.00,10782.39,189110.25,32.51,17.54,823.43,1537.91,17874.51
Deschutes,2011.00,1.00,Sawtimber,Douglas-fir,0.00,0.00,0.00,0.00,0.00,35.28,65.53,617.40
Deschutes,2011.00,1.00,Sawtimber,Incense Cedar,0.00,0.00,0.00,0.00,0.00,24.37,68.00,68.00
Deschutes,2011.00,1.00,Sawtimber,Lodgepole Pine,0.00,0.00,0.00,0.00,0.00,1969.56,4022.58,61469.01
Deschutes,2011.00,1.00,Sawtimber,Ponderosa Pine,0.00,0.00,0.00,0.00,0.00,2159.93,4474.66,55422.85
