National_Forest,Year,Quarter,Product,Species,Sold_Volume_MBF,Sold_Volume_CCF,Sold_Value,Sold_per_MBF,Sold_per_CCF,Cut_Volume_MBF,Cut_Volume_CCF,Cut_Value
Rogue River-Siskiyou,2010.00,3.00,Posts,Miscellaneous,1.56,3.00,60.00,38.46,20.00,1.56,3.00,60.00
Rogue River-Siskiyou,2010.00,3.00,Posts,Pacific Yew,0.26,0.50,20.00,76.92,40.00,0.26,0.50,20.00
Rogue River-Siskiyou,2010.00,3.00,Fuelwood,Fuelwood,900.11,1731.88,20375.00,22.64,11.76,775.04,1490.48,17535.00
Rogue River-Siskiyou,2010.00,3.00,Non-saw,Softwood Other,0.00,0.00,0.00,0.00,0.00,0.68,1.28,0.64
Siuslaw,2010.00,3.00,Sawtimber,Douglas-fir,10916.98,20788.05,396733.51,36.34,19.08,12791.93,25385.85,779219.76
Siuslaw,2010.00,3.00,Sawtimber,Western Hemlock,3113.31,5909.03,235712.00,75.71,39.89,7202.10,13425.93,129924.68
Siuslaw,2010.00,3.00,Sawtimber,Red Alder,0.00,0.00,0.00,0.00,0.00,12.82,24.38,113.76
Siuslaw,2010.00,3.00,Sawtimber,Specified Road Charges,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2883.60
Siuslaw,2010.00,3.00,Pulpwood,Softwood Other,0.00,0.00,0.00,0.00,0.00,846.12,1655.10,5016.60
Siuslaw,2010.00,3.00,Poles,Red Alder,0.44,0.80,20.00,45.45,25.00,0.44,0.80,20.00
Siuslaw,2010.00,3.00,Fuelwood,Fuelwood,1096.13,2108.00,24800.00,22.63,11.76,1165.12,2240.60,26360.00
Umatilla,2010.00,3.00,Sawtimber,Douglas-fir,473.65,900.10,52102.21,110.00,57.88,4259.43,8210.07,268724.30
Umatilla,2010.00,3.00,Sawtimber,Ponderosa Pine,156.70,299.26,46873.90,299.13,156.63,2889.07,5590.23,126423.72
Umatilla,2010.00,3.00,Sawtimber,White Fir,216.57,403.00,30434.12,140.53,75.52,6292.98,12078.62,159615.51
Umatilla,2010.00,3.00,Sawtimber,Western Larch,4.16,8.00,308.16,74.08,38.52,0.00,0.00,0.00
Umatilla,2010.00,3.00,Poles,Lodgepole Pine,11.00,20.00,400.00,36.36,20.00,34.44,62.61,1252.20
Umatilla,2010.00,3.00,Poles,Softwood Other,0.00,0.00,0.00,0.00,0.00,0.55,1.00,20.00
Umatilla,2010.00,3.00,Posts,Lodgepole Pine,0.00,0.00,0.00,0.00,0.00,0.80,1.50,40.00
